pair,actual_x,actual_y,predicted_x,predicted_y,error,success,raw_score,edge_score,gradient_score,projection_score,combined_score,confidence,scale,angle,second_score,score_margin,uniqueness,candidate_count,recovery_used,consensus_support,consensus_score,ambiguous,weak_match,failure_class
pair_028,139,367,139,367,0.0,1,0.765777,0.602885,0.157881,0.964265,0.651317,0.602853,1.035,2.0,0.45699,0.145863,0.241954,20,1,8,0.614853,0,1,SUCCESS
pair_029,367,24,367,24,0.0,1,0.7435,0.577362,0.164054,0.954745,0.636632,0.588791,1.055,-2.0,0.44489,0.143901,0.244401,20,1,8,0.600791,0,1,SUCCESS
pair_030,212,613,211,613,1.0,1,0.73005,0.401453,0.138936,0.942595,0.588616,0.588616,1.02,-1.0,0.491566,0.09705,0.164878,20,0,0,0.588616,0,0,SUCCESS
pair_031,396,435,396,435,0.0,1,0.847232,0.648267,0.161756,0.964385,0.693774,0.693774,0.96,-1.0,0.525719,0.168055,0.242233,20,0,0,0.693774,0,0,SUCCESS
pair_032,192,579,191,579,1.0,1,0.743426,0.477977,0.146892,0.974476,0.61724,0.61724,1.02,-2.0,0.497675,0.119564,0.193708,20,0,0,0.61724,0,0,SUCCESS
pair_033,499,534,499,535,1.0,1,0.711665,0.479605,0.150485,0.948394,0.600363,0.600363,1.02,-2.0,0.539669,0.060694,0.101095,20,0,0,0.600363,0,0,SUCCESS
pair_034,696,387,696,386,1.0,1,0.696794,0.459197,0.15264,0.959442,0.592973,0.592973,1.08,2.0,0.456165,0.136809,0.230716,20,0,0,0.592973,0,0,SUCCESS
pair_035,606,13,606,13,0.0,1,0.766832,0.638615,0.165075,0.944972,0.656465,0.61106,1.045,1.5,0.434207,0.176853,0.28942,20,1,8,0.62306,0,1,SUCCESS
pair_036,59,80,60,80,1.0,1,0.704207,0.48682,0.142366,0.951135,0.597747,0.597747,0.92,1.0,0.472649,0.125098,0.209282,20,0,0,0.597747,0,0,SUCCESS
pair_037,371,477,371,477,0.0,1,0.758801,0.617822,0.163463,0.94397,0.648571,0.648571,0.94,2.0,0.471311,0.17726,0.273308,20,0,0,0.648571,0,0,SUCCESS
pair_038,684,570,685,570,1.0,1,0.703091,0.459342,0.147167,0.954164,0.593371,0.593371,1.04,-2.0,0.485643,0.107728,0.181553,20,0,0,0.593371,0,0,SUCCESS
pair_039,794,687,795,687,1.0,1,0.677235,0.447164,0.149662,0.949316,0.580123,0.580123,0.94,2.0,0.480537,0.099585,0.171663,20,0,0,0.580123,0,0,SUCCESS
pair_040,183,352,184,352,1.0,1,0.719457,0.446612,0.151109,0.96451,0.600229,0.600229,1.02,2.0,0.504261,0.095968,0.159885,20,0,0,0.600229,0,0,SUCCESS
pair_041,418,142,418,142,0.0,1,0.779666,0.505452,0.142899,0.979326,0.637402,0.637402,0.98,-2.0,0.478787,0.158615,0.248847,20,0,0,0.637402,0,0,SUCCESS
pair_042,766,509,766,509,0.0,1,0.792975,0.539533,0.147867,0.950411,0.644752,0.644752,1.02,-1.0,0.509418,0.135334,0.2099,20,0,0,0.644752,0,0,SUCCESS
pair_043,646,174,646,173,1.0,1,0.663449,0.482956,0.152955,0.94591,0.581744,0.581744,1.06,2.0,0.462373,0.119371,0.205195,20,0,0,0.581744,0,0,SUCCESS
pair_044,565,395,566,396,1.4142,1,0.727175,0.490635,0.153426,0.966171,0.612916,0.612916,1.02,2.0,0.515607,0.097309,0.158765,20,0,0,0.612916,0,0,SUCCESS
pair_045,695,833,695,833,0.0,1,0.808545,0.58869,0.152226,0.912641,0.654129,0.605116,0.955,0.5,0.441673,0.163443,0.270102,20,1,8,0.617116,0,1,SUCCESS
pair_046,476,801,476,801,0.0,1,0.818729,0.66037,0.173174,0.913252,0.676851,0.676851,1.0,0.0,0.491515,0.185336,0.27382,20,0,0,0.676851,0,0,SUCCESS
pair_047,814,261,814,261,0.0,1,0.826008,0.629007,0.17006,0.95439,0.681095,0.681095,0.96,-1.0,0.505784,0.17531,0.257395,20,0,0,0.681095,0,0,SUCCESS
pair_048,409,605,409,605,0.0,1,0.775991,0.589218,0.161079,0.914359,0.643328,0.643328,1.06,0.0,0.492679,0.150649,0.234171,20,0,0,0.643328,0,0,SUCCESS
pair_049,165,845,165,845,0.0,1,0.80443,0.662055,0.165314,0.946029,0.676452,0.630297,1.005,0.0,0.476339,0.153958,0.244263,20,1,8,0.642297,0,1,SUCCESS
pair_050,387,681,387,681,0.0,1,0.805816,0.621132,0.166769,0.907251,0.661357,0.661357,1.06,0.0,0.488649,0.172707,0.261141,20,0,0,0.661357,0,0,SUCCESS
pair_051,477,743,477,743,0.0,1,0.803316,0.65755,0.167517,0.954673,0.677274,0.677274,0.96,-1.0,0.517593,0.159681,0.235771,20,0,0,0.677274,0,0,SUCCESS
pair_052,408,788,408,788,0.0,1,0.779788,0.615623,0.14864,0.913338,0.647436,0.600992,1.015,0.0,0.451863,0.149129,0.248138,20,1,8,0.612992,0,1,SUCCESS
pair_053,681,586,324,132,577.5509,0,0.739596,0.629566,0.191273,0.956706,0.651347,0.607574,1.0,0.0,0.606231,0.001343,0.002211,20,1,0,0.607574,1,0,CATASTROPHIC_WRONG_LOCATION|AMBIGUOUS|RECOVERY_USED
pair_054,234,210,234,211,1.0,1,0.798751,0.458237,0.140484,0.962336,0.631712,0.631712,0.98,-1.0,0.504657,0.127055,0.201128,20,0,0,0.631712,0,0,SUCCESS
pair_055,639,717,639,716,1.0,1,0.722389,0.461923,0.144309,0.936179,0.597438,0.597438,0.96,-1.0,0.507776,0.089662,0.150077,20,0,0,0.597438,0,0,SUCCESS
pair_056,417,287,417,287,0.0,1,0.755735,0.506565,0.145538,0.96825,0.626365,0.626365,1.02,1.0,0.534427,0.091938,0.14678,20,0,0,0.626365,0,0,SUCCESS
pair_057,200,502,363,496,163.1104,0,0.759753,0.703176,0.188651,0.969545,0.676176,0.634302,1.0,0.0,0.633742,0.00056,0.000883,20,1,0,0.634302,1,0,LARGE_WRONG_LOCATION|AMBIGUOUS|RECOVERY_USED
pair_058,506,717,506,717,0.0,1,0.792947,0.648877,0.159603,0.955077,0.66989,0.66989,1.02,1.0,0.496207,0.173683,0.259271,20,0,0,0.66989,0,0,SUCCESS
pair_059,329,330,330,330,1.0,1,0.764033,0.534087,0.148959,0.961506,0.634523,0.634523,1.06,1.0,0.498442,0.136081,0.214462,20,0,0,0.634523,0,0,SUCCESS
pair_060,261,328,261,329,1.0,1,0.779924,0.423435,0.137918,0.959021,0.616044,0.616044,1.06,-1.0,0.474693,0.141351,0.22945,20,0,0,0.616044,0,0,SUCCESS
pair_061,690,657,690,657,0.0,1,0.779624,0.493566,0.139952,0.944676,0.627488,0.627488,0.92,1.0,0.457134,0.170355,0.271486,20,0,0,0.627488,0,0,SUCCESS
pair_062,663,606,663,606,0.0,1,0.844335,0.695015,0.165043,0.96618,0.702982,0.702982,0.98,-1.0,0.457146,0.245835,0.349703,20,0,0,0.702982,0,0,SUCCESS
pair_063,120,749,299,112,661.6721,0,0.761985,0.647037,0.199736,0.953114,0.664771,0.621355,1.0,0.0,0.616135,0.00522,0.008401,20,1,0,0.621355,1,0,CATASTROPHIC_WRONG_LOCATION|AMBIGUOUS|RECOVERY_USED
pair_064,167,187,167,187,0.0,1,0.87899,0.621335,0.157591,0.973412,0.702063,0.64839,1.015,1.5,0.589604,0.058785,0.090664,20,1,8,0.66039,1,0,SUCCESS
pair_065,675,749,675,749,0.0,1,0.783377,0.684614,0.17123,0.925704,0.66966,0.626999,0.945,0.0,0.457071,0.169927,0.271017,20,1,8,0.638999,0,1,SUCCESS
pair_066,739,171,739,171,0.0,1,0.813627,0.586762,0.171108,0.919102,0.660845,0.612102,1.0,0.0,0.601589,0.010514,0.017176,20,1,0,0.612102,1,0,SUCCESS
pair_067,489,629,489,629,0.0,1,0.849702,0.659383,0.1617,0.961116,0.696321,0.696321,1.0,1.0,0.491845,0.204476,0.293652,20,0,0,0.696321,0,0,SUCCESS
pair_068,674,799,675,800,1.4142,1,0.762066,0.44254,0.142189,0.976192,0.617011,0.617011,0.94,2.0,0.517637,0.099374,0.161058,20,0,0,0.617011,0,0,SUCCESS
pair_069,573,194,573,194,0.0,1,0.687649,0.487972,0.143482,0.959147,0.59318,0.59318,0.94,-2.0,0.490577,0.102603,0.172971,20,0,0,0.59318,0,0,SUCCESS
pair_070,708,103,708,103,0.0,1,0.753377,0.552166,0.159679,0.938201,0.63136,0.63136,1.06,0.0,0.470709,0.160651,0.254453,20,0,0,0.63136,0,0,SUCCESS
pair_071,251,379,251,379,0.0,1,0.742104,0.420242,0.144328,0.918408,0.593437,0.593437,0.96,0.0,0.505895,0.087542,0.147517,20,0,0,0.593437,0,0,SUCCESS
pair_072,569,462,568,462,1.0,1,0.77119,0.443389,0.143148,0.967172,0.619218,0.619218,1.06,-2.0,0.48344,0.135778,0.219274,20,0,0,0.619218,0,0,SUCCESS
pair_073,837,421,837,421,0.0,1,0.756076,0.598471,0.160875,0.920068,0.638313,0.592474,1.005,0.0,0.448171,0.144303,0.243559,20,1,8,0.604474,0,1,SUCCESS
pair_074,239,894,239,894,0.0,1,0.791771,0.639442,0.16249,0.961867,0.669468,0.669468,0.94,-2.0,0.483498,0.18597,0.277787,20,0,0,0.669468,0,0,SUCCESS
pair_075,687,477,687,477,0.0,1,0.791114,0.636412,0.164459,0.96205,0.66903,0.621415,0.995,-1.5,0.448796,0.172619,0.277783,20,1,8,0.633415,0,1,SUCCESS
pair_076,8,147,8,147,0.0,1,0.77789,0.531344,0.148163,0.914476,0.629953,0.57931,1.015,0.5,0.415465,0.163845,0.282828,20,1,8,0.59131,0,1,SUCCESS
pair_077,601,21,601,21,0.0,1,0.793065,0.602301,0.166377,0.93861,0.658683,0.658683,1.06,-1.0,0.457823,0.20086,0.304942,20,0,0,0.658683,0,0,SUCCESS
pair_078,818,507,818,507,0.0,1,0.828135,0.551881,0.148657,0.950088,0.661379,0.661379,1.06,-1.0,0.511432,0.149947,0.226719,20,0,0,0.661379,0,0,SUCCESS
pair_079,194,257,195,258,1.4142,1,0.758519,0.453412,0.144589,0.958883,0.614785,0.614785,1.04,2.0,0.477177,0.137608,0.223831,20,0,0,0.614785,0,0,SUCCESS
pair_080,360,556,361,556,1.0,1,0.711707,0.453946,0.144215,0.968278,0.597971,0.597971,1.06,-2.0,0.475978,0.121993,0.204011,20,0,0,0.597971,0,0,SUCCESS
pair_081,575,832,576,832,1.0,1,0.70303,0.468724,0.145039,0.946152,0.593195,0.593195,0.92,1.0,0.48869,0.104505,0.176173,20,0,0,0.593195,0,0,SUCCESS
pair_082,658,525,658,525,0.0,1,0.778042,0.667477,0.166677,0.9529,0.668628,0.668628,0.92,-2.0,0.491764,0.176864,0.264517,20,0,0,0.668628,0,0,SUCCESS
pair_083,558,419,558,419,0.0,1,0.784744,0.632179,0.162936,0.951424,0.663205,0.663205,0.96,2.0,0.489493,0.173712,0.261928,20,0,0,0.663205,0,0,SUCCESS
pair_084,511,373,511,373,0.0,1,0.743662,0.692323,0.168469,0.93457,0.656537,0.656537,1.04,2.0,0.483136,0.173401,0.264115,20,0,0,0.656537,0,0,SUCCESS
pair_085,475,88,475,88,0.0,1,0.799596,0.675421,0.162072,0.922597,0.671856,0.671856,0.94,0.0,0.510411,0.161446,0.240298,20,0,0,0.671856,0,0,SUCCESS
pair_086,362,626,362,626,0.0,1,0.809382,0.605144,0.155255,0.921012,0.660035,0.660035,0.98,0.0,0.481628,0.178407,0.270299,20,0,0,0.660035,0,0,SUCCESS
pair_087,390,334,390,334,0.0,1,0.760204,0.644219,0.169676,0.928946,0.65265,0.608887,0.995,1.0,0.458919,0.149968,0.246299,20,1,8,0.620887,0,1,SUCCESS
pair_088,154,774,155,774,1.0,1,0.663716,0.475264,0.149996,0.92087,0.574713,0.526746,1.065,1.0,0.449731,0.077015,0.146209,20,1,8,0.538746,0,1,SUCCESS
pair_089,366,123,366,122,1.0,1,0.689946,0.490329,0.146332,0.951402,0.593591,0.593591,1.02,-1.0,0.487662,0.10593,0.178455,20,0,0,0.593591,0,0,SUCCESS
pair_090,218,182,218,182,0.0,1,0.8383,0.528944,0.142999,0.95414,0.660536,0.604512,1.035,-0.5,0.542065,0.062446,0.1033,20,1,8,0.616512,1,0,SUCCESS
pair_091,622,808,622,808,0.0,1,0.802369,0.661172,0.168188,0.949354,0.676691,0.630572,0.985,0.5,0.447608,0.182964,0.290156,20,1,8,0.642572,0,1,SUCCESS
pair_092,215,624,610,66,683.6585,0,0.772635,0.676548,0.190354,0.970603,0.676555,0.632738,1.0,0.0,0.631496,0.001243,0.001964,20,1,0,0.632738,1,0,CATASTROPHIC_WRONG_LOCATION|AMBIGUOUS|RECOVERY_USED
pair_093,17,450,17,449,1.0,1,0.669967,0.461607,0.153455,0.927958,0.576591,0.527448,1.075,1.0,0.423351,0.104096,0.197358,20,1,8,0.539448,0,1,SUCCESS
pair_094,72,68,72,68,0.0,1,0.692954,0.474104,0.151224,0.95641,0.593529,0.593529,1.02,-2.0,0.485674,0.107855,0.181718,20,0,0,0.593529,0,0,SUCCESS
pair_095,254,881,255,882,1.4142,1,0.757695,0.450696,0.146751,0.962941,0.615156,0.615156,1.02,-1.0,0.488882,0.126273,0.20527,20,0,0,0.615156,0,0,SUCCESS
pair_096,778,161,778,162,1.0,1,0.686533,0.514644,0.146419,0.922464,0.591318,0.591318,0.98,0.0,0.48804,0.103278,0.174657,20,0,0,0.591318,0,0,SUCCESS
pair_097,509,746,509,746,0.0,1,0.804231,0.644196,0.16641,0.943076,0.672429,0.625594,0.965,0.5,0.463722,0.161872,0.25875,20,1,8,0.637594,0,1,SUCCESS
pair_098,779,273,779,273,0.0,1,0.796071,0.529003,0.141852,0.937242,0.640048,0.640048,0.92,1.0,0.459356,0.180692,0.28231,20,0,0,0.640048,0,0,SUCCESS
pair_099,148,424,147,423,1.4142,1,0.722891,0.477734,0.147425,0.957503,0.605689,0.605689,0.96,1.0,0.511585,0.094104,0.155367,20,0,0,0.605689,0,0,SUCCESS
pair_100,479,250,479,250,0.0,1,0.764003,0.480364,0.14842,0.946496,0.620657,0.620657,1.06,1.0,0.473654,0.147003,0.236851,20,0,0,0.620657,0,0,SUCCESS
pair_1000,620,827,620,828,1.0,1,0.724761,0.468301,0.14967,0.93455,0.600408,0.600408,1.02,1.0,0.48044,0.119968,0.199811,20,0,0,0.600408,0,0,SUCCESS
pair_101,66,301,66,302,1.0,1,0.741283,0.480792,0.15812,0.963563,0.617008,0.617008,1.04,2.0,0.481286,0.135723,0.219969,20,0,0,0.617008,0,0,SUCCESS
pair_102,207,398,208,399,1.4142,1,0.72434,0.449223,0.140546,0.982032,0.604096,0.604096,1.0,2.0,0.462764,0.141332,0.233957,20,0,0,0.604096,0,0,SUCCESS
pair_103,211,582,211,582,0.0,1,0.735168,0.604511,0.161638,0.938707,0.635038,0.589652,1.035,1.5,0.447677,0.141975,0.240778,20,1,8,0.601652,0,1,SUCCESS
pair_104,274,103,274,104,1.0,1,0.696327,0.468119,0.147869,0.963161,0.59436,0.59436,0.98,2.0,0.475647,0.118714,0.199734,20,0,0,0.59436,0,0,SUCCESS
pair_105,855,683,855,683,0.0,1,0.820551,0.62549,0.151055,0.92557,0.668643,0.668643,0.92,0.0,0.505593,0.16305,0.243853,20,0,0,0.668643,0,0,SUCCESS
pair_106,629,337,629,337,0.0,1,0.837729,0.63408,0.159016,0.969776,0.687666,0.687666,1.04,-1.0,0.49686,0.190806,0.277469,20,0,0,0.687666,0,0,SUCCESS
pair_107,331,774,331,774,0.0,1,0.749231,0.614648,0.167389,0.916136,0.639327,0.59516,0.985,-1.0,0.439778,0.155382,0.261076,20,1,8,0.60716,0,1,SUCCESS
pair_108,464,141,465,142,1.4142,1,0.683843,0.476732,0.142761,0.945176,0.586471,0.586471,0.94,1.0,0.485835,0.100636,0.171596,20,0,0,0.586471,0,0,SUCCESS
pair_109,846,798,847,798,1.0,1,0.696958,0.427963,0.149178,0.967391,0.58769,0.58769,1.04,2.0,0.512914,0.074776,0.127236,20,0,0,0.58769,0,0,SUCCESS
pair_110,145,417,145,417,0.0,1,0.793056,0.615497,0.15194,0.903165,0.651343,0.651343,1.06,0.0,0.468659,0.182684,0.280473,20,0,0,0.651343,0,0,SUCCESS
pair_111,397,145,397,145,0.0,1,0.773256,0.617798,0.165375,0.941472,0.654231,0.654231,1.02,-1.0,0.528052,0.12618,0.192867,20,0,0,0.654231,0,0,SUCCESS
pair_112,817,767,817,767,0.0,1,0.787771,0.597273,0.161539,0.943882,0.655647,0.655647,1.04,-1.0,0.466383,0.189265,0.288668,20,0,0,0.655647,0,0,SUCCESS
pair_113,98,320,98,319,1.0,1,0.745074,0.425482,0.137394,0.948652,0.600335,0.600335,1.02,1.0,0.467316,0.133019,0.221575,20,0,0,0.600335,0,0,SUCCESS
pair_114,749,570,749,570,0.0,1,0.863477,0.570985,0.149924,0.983106,0.686194,0.686194,0.98,1.0,0.589562,0.096632,0.140823,20,0,0,0.686194,0,0,SUCCESS
pair_115,777,180,777,180,0.0,1,0.74149,0.650103,0.169264,0.940676,0.648604,0.648604,0.96,-2.0,0.4776,0.171004,0.263649,20,0,0,0.648604,0,0,SUCCESS
pair_116,59,560,59,560,0.0,1,0.837133,0.725312,0.180892,0.943497,0.704793,0.704793,1.06,0.0,0.481968,0.222826,0.316158,20,0,0,0.704793,0,0,SUCCESS
pair_117,597,121,597,121,0.0,1,0.801511,0.618967,0.157891,0.940185,0.664013,0.615771,0.955,-0.5,0.436065,0.179706,0.291839,20,1,8,0.627771,0,1,SUCCESS
pair_118,414,655,414,655,0.0,1,0.792261,0.637931,0.157242,0.957479,0.667435,0.667435,0.92,-2.0,0.47263,0.194805,0.291871,20,0,0,0.667435,0,0,SUCCESS
pair_119,264,343,264,343,0.0,1,0.807485,0.701626,0.164069,0.937717,0.683677,0.683677,0.92,1.0,0.465341,0.218336,0.319356,20,0,0,0.683677,0,0,SUCCESS
pair_120,182,807,182,807,0.0,1,0.773064,0.490345,0.148202,0.903174,0.61757,0.61757,1.06,0.0,0.47388,0.143689,0.232669,20,0,0,0.61757,0,0,SUCCESS
pair_121,8,83,8,82,1.0,1,0.650076,0.46129,0.143115,0.938996,0.568711,0.519477,0.935,1.0,0.436541,0.082936,0.159653,20,1,8,0.531477,0,1,SUCCESS
pair_122,221,726,221,726,0.0,1,0.793294,0.588258,0.146908,0.926623,0.649675,0.649675,0.96,0.0,0.478916,0.170759,0.262838,20,0,0,0.649675,0,0,SUCCESS
pair_123,694,22,694,22,0.0,1,0.792519,0.75969,0.165119,0.941262,0.690222,0.690222,0.92,1.0,0.502881,0.187341,0.271421,20,0,0,0.690222,0,0,SUCCESS
pair_124,661,861,661,861,0.0,1,0.789795,0.643729,0.170858,0.938103,0.666456,0.62079,0.965,-0.5,0.438923,0.181868,0.292962,20,1,8,0.63279,0,1,SUCCESS
pair_125,870,807,871,808,1.4142,1,0.783937,0.455116,0.142806,0.949573,0.623073,0.623073,1.04,-1.0,0.485229,0.137844,0.221232,20,0,0,0.623073,0,0,SUCCESS
pair_126,471,604,471,604,0.0,1,0.830433,0.688816,0.165542,0.954359,0.693917,0.693917,0.96,-1.0,0.492282,0.201635,0.290575,20,0,0,0.693917,0,0,SUCCESS
pair_127,308,716,309,717,1.4142,1,0.713185,0.43904,0.136163,0.941078,0.58853,0.58853,0.92,-1.0,0.480429,0.108101,0.18368,20,0,0,0.58853,0,0,SUCCESS
pair_128,454,305,453,305,1.0,1,0.760417,0.427968,0.142527,0.96367,0.611,0.611,1.04,-2.0,0.466975,0.144025,0.23572,20,0,0,0.611,0,0,SUCCESS
pair_129,667,100,667,100,0.0,1,0.769645,0.596367,0.15567,0.971092,0.652484,0.652484,0.94,2.0,0.48968,0.162804,0.249514,20,0,0,0.652484,0,0,SUCCESS
pair_130,721,229,721,230,1.0,1,0.753284,0.449292,0.141975,0.917062,0.602979,0.602979,1.04,0.0,0.501376,0.101603,0.168502,20,0,0,0.602979,0,0,SUCCESS
pair_131,164,315,163,315,1.0,1,0.695694,0.418173,0.134374,0.902311,0.569249,0.516977,0.935,0.5,0.456642,0.060334,0.116706,20,1,8,0.528977,0,1,SUCCESS
pair_132,360,697,360,697,0.0,1,0.734364,0.586171,0.162007,0.929239,0.629229,0.629229,0.98,-1.0,0.452283,0.176946,0.281211,20,0,0,0.629229,0,0,SUCCESS
pair_133,360,159,360,159,0.0,1,0.832484,0.648037,0.153928,0.958455,0.685078,0.685078,0.98,-1.0,0.450884,0.234194,0.34185,20,0,0,0.685078,0,0,SUCCESS
pair_134,111,179,112,180,1.4142,1,0.711526,0.484064,0.144074,0.954532,0.601144,0.601144,0.98,1.0,0.470026,0.131119,0.218115,20,0,0,0.601144,0,0,SUCCESS
pair_135,569,193,568,193,1.0,1,0.686874,0.450418,0.142271,0.966896,0.586666,0.586666,1.02,-2.0,0.46868,0.117987,0.201114,20,0,0,0.586666,0,0,SUCCESS
pair_136,784,811,784,811,0.0,1,0.764937,0.522551,0.139632,0.944664,0.627344,0.627344,0.96,-1.0,0.463963,0.163381,0.260432,20,0,0,0.627344,0,0,SUCCESS
pair_137,234,581,234,581,0.0,1,0.771141,0.627164,0.166068,0.916978,0.650499,0.605754,1.045,0.0,0.453246,0.152508,0.251765,20,1,8,0.617754,0,1,SUCCESS
pair_138,236,778,236,778,0.0,1,0.876203,0.737201,0.176121,0.977873,0.72872,0.72872,0.92,1.0,0.509579,0.219141,0.300721,20,0,0,0.72872,0,0,SUCCESS
pair_139,354,695,354,696,1.0,1,0.713626,0.468035,0.142821,0.946085,0.596839,0.596839,0.98,1.0,0.495061,0.101778,0.170529,20,0,0,0.596839,0,0,SUCCESS
pair_140,808,537,808,537,0.0,1,0.794094,0.654533,0.167561,0.960195,0.674096,0.674096,0.94,2.0,0.499462,0.174634,0.259064,20,0,0,0.674096,0,0,SUCCESS
pair_141,354,282,354,282,0.0,1,0.765984,0.673677,0.167102,0.933941,0.661337,0.61838,0.955,-1.5,0.440652,0.177728,0.287409,20,1,8,0.63038,0,1,SUCCESS
pair_142,373,804,373,804,0.0,1,0.768121,0.64439,0.167623,0.927209,0.655093,0.655093,1.0,1.0,0.453551,0.201542,0.307654,20,0,0,0.655093,0,0,SUCCESS
pair_143,609,99,609,99,0.0,1,0.812112,0.616601,0.160995,0.964321,0.673228,0.673228,1.04,-2.0,0.529567,0.143661,0.213392,20,0,0,0.673228,0,0,SUCCESS
